"l","m","n","a","omega1"
1,1,0,0.94,"-0.2001684804887651723349020760059660187432421722595249527739098785784 - 0.3996663074461183719912452170175323982834550504015036386833547147174i"
1,1,0,0.95,"-0.2402911068582582797012651730584661634749886770327550639152450236786 - 0.480229752489203943605548482147021867693880527885464374469311921221i"
1,1,0,0.96,"-0.2966399809430343027741196782685230379570769917702054922442119327992 - 0.5974906758797696730001158358605630658798904929406941422335553270974i"
1,1,0,0.97,"-0.380415089493116809402608498192771468726201069573269153166675296791 - 0.783406199224519038822495036457891540315248460131576572450533235753i"
1,1,0,0.98,"-0.515843094062554705773058008927570925165575260963372471568972911661 - 1.123974239435187613827682342920445493729180836508578356103257944919i"
1,1,0,0.99,"-0.76128093919204973917195871435322889624024066718471610404900822206 - 1.97618016882094074326565264396847175964113145145355882320434592583i"
2,-2,0,0.05,"0.00246058453535816071711342015098063443418430342416756729726443167380931 + 0.002183172847533345093791828056843235033156879494426746461552506318193481i"
2,-2,0,0.1,"0.00471764252219610761697986480200482589637891341359754054893803484728346 + 0.00416920491415853433375983940495488280338809608785485887746212877106042i"
2,-2,0,0.15,"0.00677837188573376219523021995073247002782675092616928575484754105449573 + 0.00597653124678079454526992179574542957712920387383971287043785473398044i"
2,-2,0,0.2,"0.0086479901504462981171622552543151267780219877514837613771501225999688 + 0.0076197807229030855207917838703155914835513508810341140324189545087784i"
2,-2,0,0.25,"0.0103301374287782489114411392949465028088294967207814407418492256251899 + 0.0091102927090732770902955335570024544154036947887870856758527309777144i"
2,-2,0,0.3,"0.0118271736403959581542091600782495058273297079910924917340380726802748 + 0.0104564886427287224214370993927660499884220610627084564248918916851778i"
2,-2,0,0.35,"0.0131404042239225551234932916605679195074117841444542356025706655551333 + 0.0116641355065647551062610760912603408800245454736864357674060776735114i"
2,-2,0,0.4,"0.0142702549099267910783812044557698383648340634078037457772924474176675 + 0.0127365304915216693593004933838641819765916293125888593565651421073255i"
2,-2,0,0.45,"0.015216403400936841021078671751479450610193331926972515684531813002967 + 0.013674632491845383807286344859618489272613827225599382134876494865161i"
2,-2,0,0.5,"0.015977860027771883656831283654152651314966566931442445611399020689455 + 0.014477165368511346215209377742386910074725098569011567870409401580541i"
2,-2,0,0.55,"0.016552964804147222338982243818962898341913804935772493692276797650483 + 0.015140718742302283260107864874632729302741894258075873359350904551268i"
2,-2,0,0.6,"0.016939224817938266046557663821511518779329998559888746046719094132838 + 0.015659871357144573076122557191544764273674322677464275479461044286304i"
2,-2,0,0.65,"0.017132834877488988814983724063093571106885572566609980683483935690213 + 0.016027352166422287713273976278583709758044586997866917167840456241297i"
2,-2,0,0.7,"0.017127568048194540549221695294749023750155140352095286818033498343901 + 0.016234216503131331821319576311236245012960886792558024119768099319717i"
2,-2,0,0.75,"0.016912407256120103276693164909107534523261181345811250071099584799736 + 0.016269903530896299821231728744763287297228992578352142161085506687567i"
2,-2,0,0.8,"0.016466597138346063480148888748417557570634407747257243723321902017819 + 0.016121743522271854716806954302822358984318012762973130640055250416452i"
