"l","m","n","a","omega1"
1,1,0,0.65,"-0.03068816548811762868553428337188089293807614874306576001656417014952 - 0.05503579169160122647267128998201650928673773835814868884432333442104i"
1,1,0,0.7,"-0.03588372274076117817886791686123344090975002554716065816459773583961 - 0.06711044055489143600438525369929456454410272382098355193237357907483i"
1,1,0,0.75,"-0.0430433758403014952371351757146301961291452517895802230311124552456 - 0.0837660655472570779557674811279969469784716320186443577325077567325i"
1,1,0,0.8,"-0.0540532285190792247269712747773562763761469717170636808555878448162 - 0.1085997715742410529660316173994307877781606795737872189122739437578i"
1,1,0,0.85,"-0.0735538489516700108548582061290089462497607702066886586446578117669 - 0.1501333102085652220447794699200726438575637925658461182221920805419i"
1,1,0,0.9,"-0.115447058279312317558782390223455495796124758738043464571296013775 - 0.233874552972654679987733342800333405133139398994174739789451200621i"
1,1,0,0.91,"-0.129749801310360851162084273159316779942951900971376207547039200423 - 0.261800215857103158396023217044433578962261763353312138196931761507i"
1,1,0,0.92,"-0.147620502632523904743320416620204239280677629832736821013013427154 - 0.296595904758291934974846586126771663504058939921788570828123215226i"
1,1,0,0.93,"-0.170402269211488509719006826393489396927827301276690792071771583738 - 0.341049855698792248860909848682725148762613685095882704228857963259i"
1,1,0,0.94,"-0.200168480488763711847187620043883812971063074382720108457256581228 - 0.399666307446121896685188258896161147060410975568645033885661789276i"
1,1,0,0.95,"-0.240291106858268126182425435446688165756756371430367330316183273197 - 0.480229752489205421285135069427545998571748173670715903199414769418i"
1,1,0,0.96,"-0.29663998094301936378537457146374466957649551486292408909942524827 - 0.5974906758797410629420005221887435814374388038329644107910323908i"
1,1,0,0.97,"-0.38041508949313837111135859689750921489210210749399884669866160512 - 0.78340619922466382692225257610910626287051763056723772971893405784i"
1,1,0,0.98,"-0.51584309406160591519438544609098621792251572513283249673834161336 - 1.12397423943437188286558278936261322158340634871408744935196389299i"
1,1,0,0.99,"-0.7612809391624324338601075540354497191540744949570173818984323357 - 1.9761801687941582515927709674509242347130028092772332149363234152i"
2,-2,0,0.05,"0.0024605845353581607171119060094867810366409178070978579854128320825537 + 0.002183172847533345093795660846546105538369356650304178589786836948276i"
2,-2,0,0.1,"0.0047176425221961076169850753497783472918612631276271728534830030580405 + 0.0041692049141585343337725935701879789553960726265933736914069198523108i"
2,-2,0,0.15,"0.006778371885733762195263260476853511879806190278607565577616494607564 + 0.005976531246780794545282823341422082532688924644272011460573266441736i"
2,-2,0,0.2,"0.008647990150446298117235644867615332289966885047112140569752047849095 + 0.007619780722903085520752199136922587174950366356382965473141090031066i"
2,-2,0,0.25,"0.010330137428778248911468187480364758320469798103906464011022236395542 + 0.009110292709073277090108309064358660333178135756908224144035812084474i"
2,-2,0,0.3,"0.011827173640395958153885036435836211460894714703791645281525079702041 + 0.010456488642728722421161026776623458773130446317923067902194765047969i"
2,-2,0,0.35,"0.013140404223922555122597070615347307967179147503543788487471261062287 + 0.011664135506564755106629469901090928575191126752196599736811983978369i"
2,-2,0,0.4,"0.01427025490992679107840758136873859751328094841316972198307667489749 + 0.01273653049152166936156403828406876104708286433220733561197385604159i"
2,-2,0,0.45,"0.01521640340093684102638717279330912594441914691158495227154169815561 + 0.01367463249184538380868318122724028464744403507602100481964625184141i"
2,-2,0,0.5,"0.01597786002777188366223671383615462855656852158555090542239130191136 + 0.01447716536851134620231965243524889488409174086921749399174124368529i"
2,-2,0,0.55,"0.01655296480414722230366297813809805447634153170279401875105940729702 + 0.01514071874230228324584020252928072319720142904311286812429970224077i"
2,-2,0,0.6,"0.01693922481793826602480663088590994554183711860193232819841249594186 + 0.01565987135714457318714284210859576024533095307082936620434184028596i"
2,-2,0,0.65,"0.01713283487748898917955074683041280643419176830838715214191135234179 + 0.01602735216642228763097375428396941896631139165551684661953211645744i"
2,-2,0,0.7,"0.01712756804819453940893021616903194189323958993429354393870993220288 + 0.01623421650313133094591799752215288728969216852666105705039981488155i"
2,-2,0,0.75,"0.01691240725612010597911406270069533452877922280490103793161605670222 + 0.01626990353089630595734088592900177094453154761719852158087182525531i"
2,-2,0,0.8,"0.01646659713834604642136209866641234993474919336676336534551464160311 + 0.01612174352227181670833358480647117323463353907690654624232567659912i"
2,-2,0,0.85,"0.0157490282094440727620101069743717401476381764163261986471073389994 + 0.0157726847794100494327290434682077455605733874915521579826168648827i"
2,-2,0,0.9,"0.0146730825622573798242683788884256844473671811953498370109278847508 + 0.015193565081472974839509193890170195291482694072692000624668390434i"
2,-2,0,0.91,"0.0144005999842372842835299037564154744333019243330411755955195271045 + 0.0150454866889773082558240381248546163508037373323025046540958791686i"
2,-2,0,0.92,"0.0141038980524412001536147304681067129995482722552022498166772088849 + 0.0148849551516972239731240415709068812589657936857800408672216172463i"
2,-2,0,0.93,"0.0137796745624235460405064283608980563116702730761163638295840410039 + 0.0147108432869555996966826705472946181727905977647466332953246083675i"
2,-2,0,0.94,"0.0134236914992331646390452244966750322427410301150361025675559659954 + 0.014521679423738871986464555891409816269900605159657134139375737416i"
2,-2,0,0.95,"0.0130303518931961521598383753033497437387185026622853641973629056757 + 0.0143154858147355601122245295153662451270256598851050438978014867613i"
2,-2,0,0.96,"0.0125919711527393282265857659265299311295478010554481166121267224746 + 0.0140894995380315555675790333435923060171491627112788218290391377331i"
2,-2,0,0.97,"0.012097395312882907034013744250949483253427376586083413073685721826 + 0.0138396409714091041231093915792576194154188584463503687169456850755i"
2,-2,0,0.98,"0.0115289726656509057985434953150432465216552154280545599358163225213 + 0.0135593417791866812427901166248158461042855799301946108372188337414i"
2,-2,0,0.99,"0.010854011984308458982557474288054157512870311822556145365163438361 + 0.013236209965709779959302807861662032991205812275176707763870827515i"
2,-1,0,0.05,"0.0012166833887136612824705640413279495317335402798198406426204857176205 + 0.0011343609740144770722097874037324149602898555492384746905626705405352i"
2,-1,0,0.1,"0.0023047597446238201732097156564178669487545653587415103210430187521876 + 0.0022525607244825408864027431958004227757488825001715759179133197815312i"
2,-1,0,0.15,"0.003269094858660309318221013658083612816699409650393598788500033936855 + 0.00336036809330754400072681958626420761472915995260981983854340018774i"
